date,open,close
2018-09-27,6488.93,6669.36
2018-09-28,6657.73,6684.0
2018-10-01,6595.0,6587.91
2018-10-02,6572.48,6564.11
2018-10-03,6496.12,6478.89
2018-10-04,6570.0,6611.09
2018-10-05,6589.6,6595.5
2018-10-08,6647.78,6695.33
2018-10-09,6644.67,6656.49
2018-10-10,6590.06,6635.96
2018-10-11,6278.7,6298.12
2018-10-12,6309.49,6320.52
2018-10-15,6982.28,6741.0
2018-10-16,6796.38,6729.01
2018-10-17,6728.56,6716.96
2018-10-18,6715.86,6636.03
2018-10-19,6586.63,6555.38
2018-10-22,6594.5,6560.14
2018-10-23,6541.86,6576.52
2018-10-24,6600.53,6578.82
2018-10-25,6544.99,6551.28
2018-10-26,6557.93,6544.99
2018-10-29,6427.41,6336.1
2018-10-30,6360.33,6332.0
2018-10-31,6331.88,6371.37
2018-11-01,6368.17,6379.68
2018-11-02,6421.08,6430.99
2018-11-05,6454.15,6448.12
2018-11-06,6470.15,6479.87
2018-11-07,6577.63,6570.0
2018-11-08,6529.8,6495.72
2018-11-09,6425.81,6434.03
2018-11-12,6439.28,6458.64
2018-11-13,6446.35,6461.3
2018-11-14,6381.88,5863.94
2018-11-15,5590.08,5690.39
2018-11-16,5669.8,5627.5
2018-11-19,5332.29,5072.14
2018-11-20,4511.32,4673.93
2018-11-21,4624.13,4543.99
2018-11-23,4396.39,4372.45
2018-11-26,4057.89,3904.15
2018-11-27,3755.6,3821.99
2018-11-28,4089.35,4332.17
2018-11-29,4383.7,4245.02
2018-11-30,4020.04,4036.34
2018-12-03,4025.33,3871.41
2018-12-04,3996.28,3960.0
2018-12-06,3816.54,3694.44
2018-12-07,3396.65,3492.66
2018-12-10,3511.78,3402.89
2018-12-11,3380.69,3370.28
2018-12-12,3436.99,3445.81
2018-12-13,3384.26,3345.47
2018-12-14,3287.61,3220.55
2018-12-17,3271.86,3535.61
2018-12-18,3490.85,3536.07
2018-12-19,3818.45,3751.4
2018-12-20,3974.77,4012.82
2018-12-21,3995.28,3806.27
2018-12-24,4105.97,4012.49
2018-12-26,3722.65,3769.95
2018-12-27,3723.16,3577.77
2018-12-28,3607.0,3819.54
2018-12-31,3725.42,3687.47
2019-01-02,3788.81,3824.98
2019-01-03,3803.31,3756.0
2019-01-04,3754.05,3739.53
2019-01-07,3976.78,3988.52
2019-01-08,4002.32,3976.12
2019-01-09,3985.52,3978.34
2019-01-10,3738.01,3596.12
2019-01-11,3593.57,3606.15
2019-01-14,3488.8,3638.08
2019-01-15,3612.1,3604.14
2019-01-16,3589.08,3576.4
2019-01-17,3580.3,3604.95
2019-01-18,3599.08,3587.91
2019-01-22,3535.15,3578.46
2019-01-23,3577.8,3533.4
2019-01-24,3562.15,3574.93
2019-01-25,3541.97,3553.21
2019-01-28,3427.59,3424.39
2019-01-29,3385.34,3419.44
2019-01-30,3429.62,3458.77
2019-01-31,3427.79,3434.28
2019-02-01,3460.56,3474.52
2019-02-04,3436.39,3469.03
2019-02-05,3469.89,3463.81
2019-02-06,3399.79,3398.39
2019-02-07,3407.81,3399.55
2019-02-08,3430.0,3668.3
2019-02-11,3626.16,3643.95
2019-02-12,3610.75,3640.95
2019-02-13,3613.79,3602.95
2019-02-14,3584.94,3605.69
2019-02-15,3607.95,3596.07
2019-02-19,3898.95,3967.21
2019-02-20,3960.0,3956.0
2019-02-21,3931.5,3925.94
2019-02-22,3958.95,3965.35
2019-02-25,3791.31,3855.39
